olad -l 4
Olad.cpp:84: OLA Daemon version 0.9.1
OlaDaemon.cpp:114: Using configs in /home/pi/.ola
PidStoreLoader.cpp:203: Loading BACKGROUND_QUEUED_STATUS_POLICY
PidStoreLoader.cpp:203: Loading BACKGROUND_QUEUED_STATUS_POLICY_DESCRIPTION
PidStoreLoader.cpp:203: Loading BACKGROUND_STATUS_TYPE
PidStoreLoader.cpp:203: Loading QUEUED_STATUS_ENDPOINT_COLLECTION
PidStoreLoader.cpp:203: Loading QUEUED_STATUS_UID_COLLECTION
PidStoreLoader.cpp:203: Loading ENDPOINT_LIST
PidStoreLoader.cpp:203: Loading ENDPOINT_TO_UNIVERSE
PidStoreLoader.cpp:203: Loading RDM_TRAFFIC_ENABLE
PidStoreLoader.cpp:203: Loading ENDPOINT_MODE
PidStoreLoader.cpp:203: Loading ENDPOINT_LABEL
PidStoreLoader.cpp:203: Loading DISCOVERY_STATE
PidStoreLoader.cpp:203: Loading ENDPOINT_TIMING
PidStoreLoader.cpp:203: Loading ENDPOINT_TIMING_DESCRIPTION
PidStoreLoader.cpp:203: Loading BINDING_CONTROL_FIELDS
PidStoreLoader.cpp:203: Loading ENDPOINT_IDENTIFY
PidStoreLoader.cpp:203: Loading BACKGROUND_DISCOVERY
PidStoreLoader.cpp:203: Loading ENDPOINT_DEVICE_LIST_CHANGE
PidStoreLoader.cpp:203: Loading ENDPOINT_DEVICES
PidStoreLoader.cpp:203: Loading TCP_COMMS_STATUS
PidStoreLoader.cpp:203: Loading ENDPOINT_LIST_CHANGE
PidStoreLoader.cpp:203: Loading LIST_INTERFACES
PidStoreLoader.cpp:203: Loading INTERFACE_LABEL
PidStoreLoader.cpp:203: Loading INTERFACE_HARDWARE_ADDRESS_TYPE1
PidStoreLoader.cpp:203: Loading IPV4_DHCP_MODE
PidStoreLoader.cpp:203: Loading IPV4_ZEROCONF_MODE
PidStoreLoader.cpp:203: Loading IPV4_CURRENT_ADDRESS
PidStoreLoader.cpp:203: Loading IPV4_STATIC_ADDRESS
PidStoreLoader.cpp:203: Loading INTERFACE_RENEW_DHCP
PidStoreLoader.cpp:203: Loading INTERFACE_RELEASE_DHCP
PidStoreLoader.cpp:203: Loading INTERFACE_APPLY_CONFIGURATION
PidStoreLoader.cpp:203: Loading IPV4_DEFAULT_ROUTE
PidStoreLoader.cpp:203: Loading DNS_IPV4_NAME_SERVER
PidStoreLoader.cpp:203: Loading DNS_HOSTNAME
PidStoreLoader.cpp:203: Loading DNS_DOMAIN_NAME
PidStoreLoader.cpp:203: Loading DISC_UNIQUE_BRANCH
PidStoreLoader.cpp:203: Loading DISC_MUTE
PidStoreLoader.cpp:203: Loading DISC_UN_MUTE
PidStoreLoader.cpp:203: Loading PROXIED_DEVICES
PidStoreLoader.cpp:203: Loading PROXIED_DEVICE_COUNT
PidStoreLoader.cpp:203: Loading COMMS_STATUS
PidStoreLoader.cpp:203: Loading QUEUED_MESSAGE
PidStoreLoader.cpp:203: Loading STATUS_MESSAGES
PidStoreLoader.cpp:203: Loading STATUS_ID_DESCRIPTION
PidStoreLoader.cpp:203: Loading CLEAR_STATUS_ID
PidStoreLoader.cpp:203: Loading SUB_DEVICE_STATUS_REPORT_THRESHOLD
PidStoreLoader.cpp:203: Loading SUPPORTED_PARAMETERS
PidStoreLoader.cpp:203: Loading PARAMETER_DESCRIPTION
PidStoreLoader.cpp:203: Loading DEVICE_INFO
PidStoreLoader.cpp:203: Loading PRODUCT_DETAIL_ID_LIST
PidStoreLoader.cpp:203: Loading DEVICE_MODEL_DESCRIPTION
PidStoreLoader.cpp:203: Loading MANUFACTURER_LABEL
PidStoreLoader.cpp:203: Loading DEVICE_LABEL
PidStoreLoader.cpp:203: Loading FACTORY_DEFAULTS
PidStoreLoader.cpp:203: Loading LANGUAGE_CAPABILITIES
PidStoreLoader.cpp:203: Loading LANGUAGE
PidStoreLoader.cpp:203: Loading SOFTWARE_VERSION_LABEL
PidStoreLoader.cpp:203: Loading BOOT_SOFTWARE_VERSION_ID
PidStoreLoader.cpp:203: Loading BOOT_SOFTWARE_VERSION_LABEL
PidStoreLoader.cpp:203: Loading DMX_PERSONALITY
PidStoreLoader.cpp:203: Loading DMX_PERSONALITY_DESCRIPTION
PidStoreLoader.cpp:203: Loading DMX_START_ADDRESS
PidStoreLoader.cpp:203: Loading SLOT_INFO
PidStoreLoader.cpp:203: Loading SLOT_DESCRIPTION
PidStoreLoader.cpp:203: Loading DEFAULT_SLOT_VALUE
PidStoreLoader.cpp:203: Loading DMX_BLOCK_ADDRESS
PidStoreLoader.cpp:203: Loading DMX_FAIL_MODE
PidStoreLoader.cpp:203: Loading DMX_STARTUP_MODE
PidStoreLoader.cpp:203: Loading SENSOR_DEFINITION
PidStoreLoader.cpp:203: Loading SENSOR_VALUE
PidStoreLoader.cpp:203: Loading RECORD_SENSORS
PidStoreLoader.cpp:203: Loading DIMMER_INFO
PidStoreLoader.cpp:203: Loading MINIMUM_LEVEL
PidStoreLoader.cpp:203: Loading MAXIMUM_LEVEL
PidStoreLoader.cpp:203: Loading CURVE
PidStoreLoader.cpp:203: Loading CURVE_DESCRIPTION
PidStoreLoader.cpp:203: Loading OUTPUT_RESPONSE_TIME
PidStoreLoader.cpp:203: Loading OUTPUT_RESPONSE_TIME_DESCRIPTION
PidStoreLoader.cpp:203: Loading MODULATION_FREQUENCY
PidStoreLoader.cpp:203: Loading MODULATION_FREQUENCY_DESCRIPTION
PidStoreLoader.cpp:203: Loading DEVICE_HOURS
PidStoreLoader.cpp:203: Loading LAMP_HOURS
PidStoreLoader.cpp:203: Loading LAMP_STRIKES
PidStoreLoader.cpp:203: Loading LAMP_STATE
PidStoreLoader.cpp:203: Loading LAMP_ON_MODE
PidStoreLoader.cpp:203: Loading DEVICE_POWER_CYCLES
PidStoreLoader.cpp:203: Loading BURN_IN
PidStoreLoader.cpp:203: Loading DISPLAY_INVERT
PidStoreLoader.cpp:203: Loading DISPLAY_LEVEL
PidStoreLoader.cpp:203: Loading PAN_INVERT
PidStoreLoader.cpp:203: Loading TILT_INVERT
PidStoreLoader.cpp:203: Loading PAN_TILT_SWAP
PidStoreLoader.cpp:203: Loading REAL_TIME_CLOCK
PidStoreLoader.cpp:203: Loading LOCK_PIN
PidStoreLoader.cpp:203: Loading LOCK_STATE
PidStoreLoader.cpp:203: Loading LOCK_STATE_DESCRIPTION
PidStoreLoader.cpp:203: Loading IDENTIFY_DEVICE
PidStoreLoader.cpp:203: Loading RESET_DEVICE
PidStoreLoader.cpp:203: Loading POWER_STATE
